CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Purchases_Per_Month,Avg_Order_Value,Website_Visits_Per_Month,Loyalty_Member,Cluster
1,Female,52.01088166716806,102.55935281791652,33.53479840600994,4,1000.0,16,No,1
2,Female,25.65549934900323,33.97437857430337,81.18545385103319,7,1000.0,30,Yes,0
3,Male,59.03461469435345,100.3140001096033,25.243739738750264,2,1000.0,11,No,1
4,Female,52.853740974120974,57.042858710974144,47.83230190265809,4,1000.0,16,No,4
5,Male,44.67773608801151,65.22618085407336,54.01141405620865,5,1000.0,20,No,4
6,Female,58.36383147292847,88.31025172683314,13.923410422168589,3,1000.0,10,No,1
7,Male,48.72977430791745,82.32617698487665,20.77209705043395,2,1000.0,17,No,1
8,Female,39.4198476849005,66.0719021827994,39.67020510242024,3,1000.0,17,No,4
9,Male,30.21969070654641,23.131597653337156,70.0941531908132,6,1000.0,19,Yes,0
10,Female,42.22744070644249,39.70768051441453,24.67931890101597,2,1000.0,8,No,2
11,Male,26.117742046615213,28.712757835903854,79.27937093455834,5,1000.0,24,Yes,0
12,Male,38.96471968059424,55.4566956296974,53.956799135053714,4,1000.0,19,No,4
13,Male,59.74813856876027,16.75318675084293,37.88656247514002,3,918.29,17,No,2
14,Male,26.111841708105896,27.42566052142881,75.61821213632537,6,1000.0,27,Yes,0
15,Male,58.2620538722125,97.2897853818854,9.261544169107506,2,1000.0,13,No,1
16,Female,54.17841762002385,106.44371535474684,26.00505261151926,1,1000.0,11,No,1
17,Male,43.61199491323292,19.947956175679863,22.39221487214809,2,1000.0,9,No,2
18,Female,37.015940504350425,19.185007359821014,73.25811922810462,6,1000.0,19,Yes,0
19,Female,54.352251338395575,93.75474752406316,18.598565729882512,2,1000.0,10,No,1
20,Female,62.17304698600705,22.88044034777214,24.885755618359244,3,1000.0,12,No,2
21,Male,49.41335209261957,23.171579889547026,13.474778089545469,1,1000.0,12,No,2
22,Male,49.88522357976777,38.88199945527344,28.2366631609402,3,1000.0,11,No,2
23,Female,30.450362934908306,90.8273043580048,83.19107584927795,10,1000.0,25,Yes,3
