CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Purchases_Per_Month,Avg_Order_Value,Website_Visits_Per_Month,Loyalty_Member
1,Female,52.01088166716806,102.55935281791652,33.53479840600994,4,1000.0,16,No
2,Female,25.65549934900323,33.97437857430337,81.18545385103319,7,1000.0,30,Yes
3,Male,59.03461469435345,100.3140001096033,25.243739738750264,2,1000.0,11,No
4,Female,52.853740974120974,57.042858710974144,47.83230190265809,4,1000.0,16,No
5,Male,44.67773608801151,65.22618085407336,54.01141405620865,5,1000.0,20,No
6,Female,58.36383147292847,88.31025172683314,13.923410422168587,3,1000.0,10,No
7,Male,48.72977430791745,82.32617698487665,20.77209705043395,2,1000.0,17,No
8,Female,39.4198476849005,66.0719021827994,39.67020510242024,3,1000.0,17,No
9,Male,30.21969070654641,23.131597653337153,70.0941531908132,6,1000.0,19,Yes
10,Female,42.22744070644249,39.70768051441453,24.679318901015975,2,1000.0,8,No
11,Male,26.117742046615213,28.712757835903858,79.27937093455834,5,1000.0,24,Yes
12,Male,38.964719680594236,55.4566956296974,53.956799135053714,4,1000.0,19,No
13,Male,59.74813856876027,16.75318675084293,37.88656247514002,3,918.29,17,No
14,Male,26.111841708105896,27.42566052142881,75.61821213632537,6,1000.0,27,Yes
15,Male,58.2620538722125,97.2897853818854,9.261544169107506,2,1000.0,13,No
16,Female,54.17841762002385,106.44371535474684,26.00505261151926,1,1000.0,11,No
17,Male,43.61199491323292,19.947956175679863,22.39221487214809,2,1000.0,9,No
18,Female,37.015940504350425,19.185007359821018,73.25811922810462,6,1000.0,19,Yes
19,Female,54.352251338395575,93.75474752406316,18.598565729882512,2,1000.0,10,No
20,Female,62.17304698600705,22.88044034777214,24.885755618359244,3,1000.0,12,No
21,Male,49.41335209261957,23.171579889547026,13.474778089545467,1,1000.0,12,No
22,Male,49.88522357976777,38.881999455273444,28.2366631609402,3,1000.0,11,No
23,Female,30.450362934908306,90.8273043580048,83.19107584927795,10,1000.0,25,Yes
24,Female,59.10089392084602,89.94557726208137,10.502501609070064,1,1000.0,11,No
25,Male,18.0,30.553063099708396,88.48553970544242,7,1000.0,26,Yes
26,Male,49.66239676135358,26.095787288376144,28.667530372495833,4,1000.0,10,No
27,Male,49.30348640726238,32.957142841925595,35.61203109949419,3,1000.0,17,No
28,Female,25.228049357135024,66.60403436356602,82.53924240965685,8,1000.0,31,Yes
29,Male,35.88395119655957,62.4876236791706,44.2053296372232,1,1000.0,18,No
30,Male,40.74532816861634,89.25798551192321,9.556179721788055,2,1000.0,1,No
31,Female,59.13110403307595,30.829851726688414,30.18046487210971,2,1000.0,18,No
32,Male,55.21615920942915,103.40171159278425,27.933394175483514,3,1000.0,11,No
33,Male,44.22178248472784,19.480230202049857,18.224530102018697,1,1000.0,18,No
34,Female,41.72850225756408,31.920922166853757,59.14180706635066,8,1000.0,20,Yes
35,Female,18.0,34.193653280803986,78.65543368635576,7,1000.0,19,Yes
36,Male,53.71105194789792,90.28080258709859,21.520445345251453,2,1000.0,6,No
37,Male,44.69685733117492,24.66291312518807,17.822109349109553,1,1000.0,16,No
38,Male,30.103319829003325,32.56836591967882,81.67597490105886,7,1000.0,28,Yes
39,Male,25.622191059840198,87.65151666410692,78.08939554628952,7,1000.0,30,Yes
40,Female,22.035345885002172,21.5361432730731,92.7131530576204,8,1000.0,27,Yes
41,Male,47.45856345693043,86.24921177131883,10.720728071481883,1,1000.0,10,No
42,Male,20.915178153673146,26.535746007043034,79.60416357773441,6,1000.0,23,Yes
43,Male,43.4827445356176,18.396333945834197,12.883401249470099,2,1000.0,9,No
44,Female,46.07795801498051,53.89490125758237,55.1911459300284,6,1000.0,18,No
45,Female,27.121100657680007,31.0575597350691,70.1461538599214,7,1000.0,23,Yes
46,Female,24.758339680642354,39.79717653496913,76.42057580593489,5,1000.0,21,Yes
47,Male,25.36246100515344,29.903554313129657,90.97902237237797,8,1000.0,21,Yes
48,Female,21.28885562802646,38.07472310405508,76.99991497304148,6,1000.0,24,Yes
49,Female,43.14097832544754,28.65916043825949,27.739655344060115,2,1000.0,11,No
50,Male,31.646118426037713,32.236763052081,81.54622449479508,7,1000.0,15,Yes
51,Male,30.384571775606535,34.20737760948076,74.84579855865641,7,1000.0,25,Yes
52,Male,50.135822311849154,48.34343107513583,44.80602177333032,4,1000.0,14,No
53,Male,36.908875803672515,46.5737947454984,52.6653863587186,3,1000.0,21,No
54,Male,46.194684848195195,10.0,22.853895504403898,1,580.59,14,No
55,Male,38.89252646516619,63.03542827868969,45.4939311083171,6,1000.0,18,No
56,Male,34.15703116484357,39.7775550513917,76.88071687192178,6,1000.0,31,Yes
57,Female,48.8977384729985,59.72690541421853,51.86772637184194,5,1000.0,18,No
58,Male,27.21060902242972,30.378496119823403,81.92280924861981,8,1000.0,24,Yes
59,Female,34.11676258139482,110.5245274174549,86.75836480553772,8,1000.0,27,Yes
60,Female,22.184813340111376,15.79538401434208,95.6904277757091,9,879.41,27,Yes
61,Female,46.15730801199628,31.2088557404876,40.247257895415956,4,1000.0,20,No
62,Female,31.13801160465246,88.0532973812252,94.93771084280621,5,1000.0,23,Yes
63,Male,54.76442240538351,100.861056047234,9.337873906697675,1,1000.0,6,No
64,Female,56.441406450698096,30.253528407949872,14.027284962215008,2,1000.0,13,No
65,Male,25.9403764464531,15.562320282617755,98.73580162010396,10,817.81,24,Yes
66,Male,19.59258080007296,41.28254936002905,73.49635561505077,6,1000.0,25,Yes
67,Female,51.92157997679504,22.527230460343006,32.97692177518256,2,1000.0,16,No
68,Male,23.058725032370994,33.27445682345397,80.12051505263196,6,1000.0,22,Yes
69,Male,23.17167606758172,95.04106859690535,81.47733760033977,8,1000.0,25,Yes
70,Female,58.271876758045664,92.64140191849323,19.462652636801675,1,1000.0,8,No
71,Female,62.09755878623762,118.8163679450795,25.50223768998458,2,1000.0,10,No
72,Female,50.277159415459685,91.25338671643856,14.26926110276994,2,1000.0,10,No
73,Male,26.873809082232217,87.26390256496032,98.7497707689643,5,1000.0,28,Yes
74,Female,29.013891645732382,77.73946995801897,85.29165686987768,10,1000.0,24,Yes
75,Male,53.068770554566385,95.35635459850455,25.597838558096452,1,1000.0,14,No
76,Female,52.4140330681542,102.68727492147329,14.537596521595994,2,1000.0,12,No
77,Female,38.90364719072611,92.52479788343585,87.80153279284926,5,1000.0,30,Yes
78,Female,20.86195242474679,33.30278893886477,85.20852045336244,7,1000.0,25,Yes
79,Female,39.81162096322437,18.04545046967406,27.349328188875724,4,1000.0,17,No
80,Male,44.57861123581127,29.559528814814374,14.67171143281508,1,1000.0,14,No
81,Female,32.63696451370397,56.860205167009696,47.20172991234518,5,1000.0,24,No
82,Female,18.0,39.40169172675411,69.53874345452994,5,1000.0,22,Yes
83,Male,66.01327466477302,24.25589962666853,28.21248454500799,3,1000.0,12,No
84,Female,51.881694062323106,68.31490535045943,65.88909124981507,6,1000.0,25,Yes
85,Male,42.86154256671788,83.64134502492753,21.581980918658207,2,1000.0,13,No
86,Female,27.358989751590855,29.921407896342533,66.89604771429289,5,1000.0,25,Yes
87,Female,44.979468953788796,53.251737505893686,48.35008832835307,4,1000.0,20,No
88,Female,32.0543470753261,32.78490522686989,26.161632482283665,1,1000.0,7,No
89,Male,62.77098733983378,94.25492353468827,23.964380913633157,3,1000.0,14,No
90,Female,34.159090880526314,72.53838441338809,100.0,10,1000.0,29,Yes
91,Female,49.4152456724643,99.94566602142484,24.48407404864406,1,1000.0,13,No
