customer_id,age,income,tenure_months,orders,total_spend,preferred_channel,city,complaints,churn
C001,27,31379,14,7,19817,Store,Mumbai,3,1
C002,34,32758,25,12,29344,Mobile,Bengaluru,2,1
C003,41,34137,36,17,39181,Online,Delhi,1,0
C004,48,35516,47,22,49328,Store,Hyderabad,0,0
C005,55,36895,58,27,59785,Mobile,Chennai,3,0
C006,22,38274,11,2,10972,Online,Mumbai,2,1
C007,29,39653,22,7,21119,Store,Bengaluru,1,1
C008,36,41032,33,12,31576,Mobile,Delhi,0,0
C009,43,42411,44,17,42343,Online,Hyderabad,3,0
C010,50,43790,55,22,53420,Store,Chennai,2,0
C011,57,45169,8,27,64807,Mobile,Mumbai,1,0
C012,24,46548,19,2,11344,Online,Bengaluru,0,1
C013,31,47927,30,7,22421,Store,Delhi,3,1
C014,38,49306,41,12,33808,Mobile,Hyderabad,2,0
C015,45,50685,52,17,45505,Online,Chennai,1,0
C016,52,52064,5,22,57512,Store,Mumbai,0,0
C017,59,53443,16,27,69829,Mobile,Bengaluru,3,0
C018,26,54822,27,2,11716,Online,Delhi,2,1
C019,33,56201,38,7,23723,Store,Hyderabad,1,0
C020,40,57580,49,12,36040,Mobile,Chennai,0,0
C021,47,58959,60,17,48667,Online,Mumbai,3,0
C022,54,60338,13,22,61604,Store,Bengaluru,2,0
C023,21,61717,24,27,74851,Mobile,Delhi,1,0
C024,28,63096,35,2,12088,Online,Hyderabad,0,1
C025,35,64475,46,7,25025,Store,Chennai,3,1
C026,42,65854,57,12,38272,Mobile,Mumbai,2,0
C027,49,67233,10,17,51829,Online,Bengaluru,1,1
C028,56,68612,21,22,65696,Store,Delhi,0,0
C029,23,69991,32,27,79873,Mobile,Hyderabad,3,0
C030,30,71370,43,2,12460,Online,Chennai,2,1
C031,37,72749,54,7,26327,Store,Mumbai,1,0
C032,44,74128,7,12,40504,Mobile,Bengaluru,0,0
C033,51,75507,18,17,54991,Online,Delhi,3,0
C034,58,76886,29,22,69788,Store,Hyderabad,2,0
C035,25,78265,40,27,84895,Mobile,Chennai,1,0
C036,32,79644,51,2,12832,Online,Mumbai,0,0
C037,39,81023,4,7,27629,Store,Bengaluru,3,1
C038,46,82402,15,12,42736,Mobile,Delhi,2,0
C039,53,83781,26,17,58153,Online,Hyderabad,1,0
C040,20,85160,37,22,73880,Store,Chennai,0,0
C041,27,86539,48,27,89917,Mobile,Mumbai,3,0
C042,34,87918,59,2,13204,Online,Bengaluru,2,1
C043,41,89297,12,7,28931,Store,Delhi,1,0
C044,48,90676,23,12,44968,Mobile,Hyderabad,0,0
C045,55,92055,34,17,61315,Online,Chennai,3,0
C046,22,93434,45,22,77972,Store,Mumbai,2,0
C047,29,94813,56,27,94939,Mobile,Bengaluru,1,0
C048,36,96192,9,2,13576,Online,Delhi,0,1
C049,43,97571,20,7,30233,Store,Hyderabad,3,1
C050,50,98950,31,12,47200,Mobile,Chennai,2,0
C051,57,30329,42,17,64477,Online,Mumbai,1,0
C052,24,31708,53,22,82064,Store,Bengaluru,0,0
C053,31,33087,6,27,99961,Mobile,Delhi,3,1
C054,38,34466,17,2,13948,Online,Hyderabad,2,1
C055,45,35845,28,7,31535,Store,Chennai,1,0
C056,52,37224,39,12,49432,Mobile,Mumbai,0,0
C057,59,38603,50,17,67639,Online,Bengaluru,3,0
C058,26,39982,3,22,86156,Store,Delhi,2,1
C059,33,41361,14,27,104983,Mobile,Hyderabad,1,0
C060,40,42740,25,2,14320,Online,Chennai,0,0
C061,47,44119,36,7,32837,Store,Mumbai,3,1
C062,54,45498,47,12,51664,Mobile,Bengaluru,2,0
C063,21,46877,58,17,70801,Online,Delhi,1,0
C064,28,48256,11,22,90248,Store,Hyderabad,0,0
C065,35,49635,22,27,110005,Mobile,Chennai,3,0
C066,42,51014,33,2,14692,Online,Mumbai,2,1
C067,49,52393,44,7,34139,Store,Bengaluru,1,0
C068,56,53772,55,12,53896,Mobile,Delhi,0,0
C069,23,55151,8,17,73963,Online,Hyderabad,3,1
C070,30,56530,19,22,94340,Store,Chennai,2,0
C071,37,57909,30,27,115027,Mobile,Mumbai,1,0
C072,44,59288,41,2,15064,Online,Bengaluru,0,0
C073,51,60667,52,7,35441,Store,Delhi,3,0
C074,58,62046,5,12,56128,Mobile,Hyderabad,2,1
C075,25,63425,16,17,77125,Online,Chennai,1,0
C076,32,64804,27,22,98432,Store,Mumbai,0,0
C077,39,66183,38,27,120049,Mobile,Bengaluru,3,0
C078,46,67562,49,2,15436,Online,Delhi,2,1
C079,53,68941,60,7,36743,Store,Hyderabad,1,0
C080,20,70320,13,12,58360,Mobile,Chennai,0,0
C081,27,71699,24,17,80287,Online,Mumbai,3,1
C082,34,73078,35,22,102524,Store,Bengaluru,2,0
C083,41,74457,46,27,125071,Mobile,Delhi,1,0
C084,48,75836,57,2,15808,Online,Hyderabad,0,0
C085,55,77215,10,7,38045,Store,Chennai,3,1
C086,22,78594,21,12,60592,Mobile,Mumbai,2,0
C087,29,79973,32,17,83449,Online,Bengaluru,1,0
C088,36,81352,43,22,106616,Store,Delhi,0,0
C089,43,82731,54,27,130093,Mobile,Hyderabad,3,0
C090,50,84110,7,2,16180,Online,Chennai,2,1
C091,57,85489,18,7,39347,Store,Mumbai,1,0
C092,24,86868,29,12,62824,Mobile,Bengaluru,0,0
C093,31,88247,40,17,86611,Online,Delhi,3,0
C094,38,89626,51,22,110708,Store,Hyderabad,2,0
C095,45,91005,4,27,135115,Mobile,Chennai,1,0
C096,52,92384,15,2,16552,Online,Mumbai,0,0
C097,59,93763,26,7,40649,Store,Bengaluru,3,1
C098,26,95142,37,12,65056,Mobile,Delhi,2,0
C099,33,96521,48,17,89773,Online,Hyderabad,1,0
C100,40,97900,59,22,114800,Store,Chennai,0,0
C101,47,99279,12,27,140137,Mobile,Mumbai,3,0
C102,54,30658,23,2,16924,Online,Bengaluru,2,1
C103,21,32037,34,7,41951,Store,Delhi,1,0
C104,28,33416,45,12,67288,Mobile,Hyderabad,0,0
C105,35,34795,56,17,92935,Online,Chennai,3,0
C106,42,36174,9,22,118892,Store,Mumbai,2,0
C107,49,37553,20,27,145159,Mobile,Bengaluru,1,0
C108,56,38932,31,2,17296,Online,Delhi,0,1
C109,23,40311,42,7,43253,Store,Hyderabad,3,0
C110,30,41690,53,12,69520,Mobile,Chennai,2,0
C111,37,43069,6,17,96097,Online,Mumbai,1,0
C112,44,44448,17,22,122984,Store,Bengaluru,0,0
C113,51,45827,28,27,150181,Mobile,Delhi,3,0
C114,58,47206,39,2,17668,Online,Hyderabad,2,1
C115,25,48585,50,7,44555,Store,Chennai,1,0
C116,32,49964,3,12,71752,Mobile,Mumbai,0,0
C117,39,51343,14,17,99259,Online,Bengaluru,3,0
C118,46,52722,25,22,127076,Store,Delhi,2,0
C119,53,54101,36,27,155203,Mobile,Hyderabad,1,0
C120,20,55480,47,2,18040,Online,Chennai,0,0
