Product_ID,Sales_Amount,Quantity_Sold,Unit_Cost,Unit_Price,Discount,Region_and_Sales_Rep,Profit_Per_Unit,Total_Profit,Discounted_Revenue,Sale_Month,Sale_DayOfWeek,Region_North,Region_South,Region_West,Sales_Rep_Bob,Sales_Rep_Charlie,Sales_Rep_David,Sales_Rep_Eve,Product_Category_Electronics,Product_Category_Food,Product_Category_Furniture,Customer_Type_Returning,Payment_Method_Cash,Payment_Method_Credit Card,Sales_Channel_Retail
1052,0.01219694247815135,-0.5197172903296283,-1.6388755854736,-1.7348541171102352,-0.7158419346591353,North-Bob,-0.9833676874654923,-0.8136386444231641,0.01332777786606882,2,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1093,-0.22325604030309787,-0.5903790565199245,0.9463167192515997,1.0439207441786083,-0.4863686425741423,West-Bob,0.9922241654662524,0.03565269502838324,-0.2225943404428323,4,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
1015,-0.13637443440213148,0.3282239039539257,-1.5620954502318325,-1.6614201725183375,0.5462611718083257,South-David,-1.0162020268978784,-0.5867255320317831,-0.13713810998748888,9,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1072,-1.0020942313350718,0.9641797996665912,1.3087590376559874,1.2259971717801936,-1.5189984569566104,South-Bob,-0.8184868253050229,-0.2052327548066,-1.0011205980600892,8,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1061,-0.4460111855324606,-0.8730261212811092,-1.2969107923400154,-1.4349365793447657,-0.8305785807016316,East-Charlie,-1.4026969511019851,-1.0600869333271745,-0.44506067812666783,3,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1021,-0.4421628234734193,0.469547436334518,-1.111032442690292,-1.1432590378576535,0.6609978178508219,West-Charlie,-0.336254626298065,0.017493985797783267,-0.44293043387768205,2,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1083,-1.5467095096503305,0.2575621377636295,-0.04692087622314581,-0.07355385803645519,-0.1421587044466529,West-Bob,-0.2684584524376736,-0.04497447328192343,-1.5467501245954085,4,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1087,0.9417608902462912,1.4588121629986643,0.8659590149842303,0.8713742352839005,-0.37163199653164597,South-Eve,0.06385626587800236,1.0237301615009813,0.9427123440969578,1,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1075,-0.2797092272933988,0.3282239039539257,-1.2258604126185415,-1.1510549624802913,-1.174788518829121,South-David,0.7393359269870156,0.7780721008096178,-0.2781827076182915,6,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1075,1.1317750848436643,-0.5197172903296283,-0.17425975321725812,-0.032494851773467545,-0.2568953504891494,West-Charlie,1.4243893155763165,0.3094704461903997,1.1325089297823931,10,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,1.2297835530998136,-0.8730261212811092,-0.024834503343196028,-0.14861606536599278,0.8904711099358149,North-Eve,-1.2456169039254552,-1.0071692091803115,1.2275464032737644,11,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1100,-0.9912696147671751,1.2468268644277758,-0.969891346733502,-1.1214572341887399,-0.8305785807016316,West-Bob,-1.5353817223287525,-0.9028370322306406,-0.990745394111447,8,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1024,0.5582883048708501,-0.30773199175873983,-1.3077493446542654,-1.4713222600880347,-1.748471749041603,West-Eve,-1.6598401795724609,-1.1186630590245914,0.5618847631448223,11,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1003,-0.08563931596896292,0.3282239039539257,1.2101465581041355,1.0870661823478351,0.5462611718083257,South-Alice,-1.2251929519675127,-0.7492001280319294,-0.08642430501652484,12,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1022,1.3334960319695,-0.30773199175873983,0.04367559067962522,0.09950016132193257,1.5788909861907932,South-Charlie,0.5621155938519594,0.0905184236064226,1.3293227022877132,8,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1053,-0.9782343865690163,1.6001356953792567,-1.6611454234317855,-1.5794783789033622,0.3167878797233326,North-Bob,0.8036571923545622,2.0403017871295837,-0.9784869981300708,10,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1002,0.6294742167483665,-0.5903790565199245,1.0933498667594308,1.1924450911258042,-1.2895251648716173,North-David,1.0088186264320844,0.04296322486537853,0.6322244567478443,5,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1088,0.38570947481676776,1.0348415658568875,1.7144285510324433,1.6253797116704738,-0.6011052886166387,East-Bob,-0.8773475201838149,-0.24093636809798047,0.3868796018278129,10,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1030,-0.7014159047604469,-0.4490555241393322,0.40505240036041174,0.3388900275371405,1.2346810480633041,West-David,-0.6612649451287861,-0.6340087452484756,-0.7025807784167232,7,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
